userName,score,content,publishTime,replyCount,usefulCount,touristType,ipLocatedName,content_cleaned,publish_datetime,date,month,weekday,hour,season,content_length,score_level,high_useful,情感得分,情感类别,风景_得分,服务_得分,餐饮_得分,住宿_得分,交通_得分,综合维度分,主要维度
雪之色彩,5.0,真如世外桃源一般，青山绿水，景色宜人，穿行期间，身心涤荡，秦溪秦谷一线值得慢慢体验，两山一湖人文景观更多，值得花上一天时间慢慢体验。,1777711977000,1,0,家庭亲子,湖南,真如世外桃源一般，青山绿水，景色宜人，穿行期间，身心涤荡，秦溪秦谷一线值得慢慢体验，两山一湖人文景观更多，值得花上一天时间慢慢体验。,2026-05-02 16:52:57,2026-05-02,5,5,16,春季,66,高,False,0.9999998966202366,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
科德角岳飞,4.0,携程取票入园还是很方便的，桃花源的核心是桃花山，有一些古建建筑群，秦谷和沿河道景区基本上是后来人工建的，为了还原桃花源记里面的景象。秦谷里面会有一些互动景点，走走逛逛还不错。,1772679051000,1,1,家庭亲子,江苏,携程取票入园还是很方便的，桃花源的核心是桃花山，有一些古建建筑群，秦谷和沿河道景区基本上是后来人工建的，为了还原桃花源记里面的景象。秦谷里面会有一些互动景点，走走逛逛还不错。,2026-03-05 10:50:51,2026-03-05,3,3,10,春季,87,高,True,0.9999986261214905,正面,1.0,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,风景
artistfx1118,4.0,"位于常德市桃源县桃花源镇，是《辞海》认定的陶渊明《桃花源记》原型地，也是著名道教洞天福地（第三十五洞天）；距常德市区约34公里，包括三部分内容，秦溪+秦谷：乘竹筏漂流，沉浸式还原《桃花源记》场景；桃花山/桃源山：古建筑、碑刻、桃川万寿宫等道文化胜地；五柳湖、五柳小镇、万亩桃林（3月桃花节最佳）。
我们时间有限只是感受了五柳湖和五柳小镇。",1770250909000,0,0,家庭亲子,湖南,位于常德市桃源县桃花源镇，是辞海认定的陶渊明桃花源记原型地，也是著名道教洞天福地（第三十五洞天）；距常德市区约34公里，包括三部分内容，秦溪秦谷：乘竹筏漂流，沉浸式还原桃花源记场景；桃花山桃源山：古建筑、碑刻、桃川万寿宫等道文化胜地；五柳湖、五柳小镇、万亩桃林（3月桃花节最佳）。 我们时间有限只是感受了五柳湖和五柳小镇。,2026-02-05 08:21:49,2026-02-05,2,3,8,冬季,161,高,False,0.9999999999999909,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
科德角岳飞,4.0,景区比较大，路线略微复杂，分为桃花山、桃源山、秦谷三个区域。一定要提前看好路线。我们走路线是：从北大门进景区，先玩桃源山。然后到博物馆坐车到南门，出去后乘坐大交通去游客中心，再换乘3号线去码头坐船游玩秦谷，最后从秦谷游玩桃花山，从老牌坊回到北门。,1772604864000,1,1,家庭亲子,江苏,景区比较大，路线略微复杂，分为桃花山、桃源山、秦谷三个区域。一定要提前看好路线。我们走路线是：从北大门进景区，先玩桃源山。然后到博物馆坐车到南门，出去后乘坐大交通去游客中心，再换乘3号线去码头坐船游玩秦谷，最后从秦谷游玩桃花山，从老牌坊回到北门。,2026-03-04 14:14:24,2026-03-04,3,2,14,春季,123,高,True,0.9999623661070403,正面,1.0,0.0,0.0,0.0,1.0,0.4,风景
YoYo_2P1P1Q4J,5.0,一朝入桃源，岁岁年味浓！春节的桃花源，把陶渊明笔下的田园诗意和地道民俗年味儿揉成了一团，泛舟秦溪、逛古风市集、品擂茶尝年味，步步是景、处处有戏，全家出游慢逛超惬意，这才是中国人心中的新春理想地～,1770216454000,0,0,家庭亲子,湖南,一朝入桃源，岁岁年味浓！春节的桃花源，把陶渊明笔下的田园诗意和地道民俗年味儿揉成了一团，泛舟秦溪、逛古风市集、品擂茶尝年味，步步是景、处处有戏，全家出游慢逛超惬意，这才是中国人心中的新春理想地,2026-02-04 22:47:34,2026-02-04,2,2,22,冬季,96,高,False,0.9999999997450479,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
云端男人1979,5.0,《桃花源记》实景演出以陶渊明笔下的世外桃源为蓝本，通过现代舞台技术与传统艺术融合，再现渔人偶遇桃花源的奇幻之旅。演出选址于自然山水间，以真实山谷、溪流为背景，舞台搭建遵循“隐于自然”理念，竹篱茅舍错落分布于桃林深处，观众沿溪流步行观演，每一步皆可感受“初极狭，才通人”的探索趣味。灯光设计采用仿生照明系统，通过三千组智能灯具模拟昼夜更替，落英缤纷场景借助无人机群携带荧光花瓣实现动态飘洒，每平方厘米承载量达17片花瓣的精密计算，确保视觉效果与原著“芳草鲜美，落英缤纷”高度契合。,1755078907000,0,1,陪同父母,湖南,桃花源记实景演出以陶渊明笔下的世外桃源为蓝本，通过现代舞台技术与传统艺术融合，再现渔人偶遇桃花源的奇幻之旅。演出选址于自然山水间，以真实山谷、溪流为背景，舞台搭建遵循隐于自然理念，竹篱茅舍错落分布于桃林深处，观众沿溪流步行观演，每一步皆可感受初极狭，才通人的探索趣味。灯光设计采用仿生照明系统，通过三千组智能灯具模拟昼夜更替，落英缤纷场景借助无人机群携带荧光花瓣实现动态飘洒，每平方厘米承载量达17片花瓣的精密计算，确保视觉效果与原著芳草鲜美，落英缤纷高度契合。,2025-08-13 17:55:07,2025-08-13,8,2,17,夏季,231,高,True,1.0,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
最帅到的旅途,5.0,"常德桃花源景区，历史可追溯至秦朝，从晋朝开始声名远扬，在唐宋时期更是兴盛一时。这里是《辞海》《词源》唯一注释认可，也是中学语文课本注释的《桃花源记》原型地。      

从古至今，无数文人墨客在此留下足迹与佳作。陶渊明的《桃花源记》为它奠定了诗意的基调，李白、刘禹锡、苏轼等大家也纷纷在此挥毫泼墨。这些历史的痕迹，让桃花源景区的文化底蕴愈发深厚。 

景区总面积约157.55平方千米，核心景区面积约12平方千米。沅江如一条碧绿的丝带，蜿蜒流过，与周边的群山相依相偎。这里古树参天，修竹摇曳，处处皆是自然之美。    

神话故乡桃仙岭，充满神秘色彩；道教圣地桃源山，道观庄严，青烟缭绕；洞天福地桃花山，桃花盛开时漫山遍野，宛如云霞；世外桃源秦人村，古朴宁静，让人仿若穿越回古代。无论是漫步山间，还是泛舟江上，都能让人沉醉在这如诗如画的美景中，忘却尘世的烦恼。",1753890645000,0,1,朋友出游,重庆,常德桃花源景区，历史可追溯至秦朝，从晋朝开始声名远扬，在唐宋时期更是兴盛一时。这里是辞海词源唯一注释认可，也是中学语文课本注释的桃花源记原型地。 从古至今，无数文人墨客在此留下足迹与佳作。陶渊明的桃花源记为它奠定了诗意的基调，李白、刘禹锡、苏轼等大家也纷纷在此挥毫泼墨。这些历史的痕迹，让桃花源景区的文化底蕴愈发深厚。 景区总面积约15755平方千米，核心景区面积约12平方千米。沅江如一条碧绿的丝带，蜿蜒流过，与周边的群山相依相偎。这里古树参天，修竹摇曳，处处皆是自然之美。 神话故乡桃仙岭，充满神秘色彩；道教圣地桃源山，道观庄严，青烟缭绕；洞天福地桃花山，桃花盛开时漫山遍野，宛如云霞；世外桃源秦人村，古朴宁静，让人仿若穿越回古代。无论是漫步山间，还是泛舟江上，都能让人沉醉在这如诗如画的美景中，忘却尘世的烦恼。,2025-07-30 23:50:45,2025-07-30,7,2,23,夏季,358,高,True,1.0,正面,1.0,0.0,0.0,0.0,0.0,0.2,风景
YoYo_2P1P1Q4J,5.0,桃花山渊明祠怀古，秦街逛年货市集挑风物，云舍村还能亲手打糍粑、围着篝火唱歌，桃川万寿宫撞福钟、接财神，每一处都藏着新春祈福的仪式感。景区的沉浸式体验超用心，汉服旅拍专区随手拍都是古风大片，观光车不限次代步，老人小孩逛着不费脚，工作人员和志愿者全程贴心指引，细节拉满 。,1770216604000,0,0,家庭亲子,湖南,桃花山渊明祠怀古，秦街逛年货市集挑风物，云舍村还能亲手打糍粑、围着篝火唱歌，桃川万寿宫撞福钟、接财神，每一处都藏着新春祈福的仪式感。景区的沉浸式体验超用心，汉服旅拍专区随手拍都是古风大片，观光车不限次代步，老人小孩逛着不费脚，工作人员和志愿者全程贴心指引，细节拉满 。,2026-02-04 22:50:04,2026-02-04,2,2,22,冬季,134,高,False,0.9999999998569808,正面,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.4,风景
GyXp1957,5.0,"六月九日一行四人自驾去了桃花源，整整逛了一天坐观光电并车在五柳河景区环河都是三趟！这也是我想发此评价的原因一一桃花源（五柳河/秦谷）真真是个良心景区呀👍👍👍除了正常的优惠免费政策外，一张门票可以玩三天（票价128，现场刷码抖音买88）随时进出景区都OK！到景区和两个景区间的摆渡车全免费，20元的观光电并车一天之内无限次随便坐😀😀无论在哪个点无论有几个人，分要你买了20元的票一个电话打出去车就来了！景区内和累区外的餐饮摊位物价都很便宜！
只是建议去之前要做做功课，两个景区很大，有时间还是住一晚游两天较爽😀",1781410974000,0,0,,贵州,六月九日一行四人自驾去了桃花源，整整逛了一天坐观光电并车在五柳河景区环河都是三趟！这也是我想发此评价的原因一一桃花源（五柳河秦谷）真真是个良心景区呀除了正常的优惠免费政策外，一张门票可以玩三天（票价128，现场刷码抖音买88）随时进出景区都OK！到景区和两个景区间的摆渡车全免费，20元的观光电并车一天之内无限次随便坐无论在哪个点无论有几个人，分要你买了20元的票一个电话打出去车就来了！景区内和累区外的餐饮摊位物价都很便宜！ 只是建议去之前要做做功课，两个景区很大，有时间还是住一晚游两天较爽,2026-06-14 12:22:54,2026-06-14,6,6,12,夏季,247,高,False,0.9933958249667082,正面,1.0,0.0,0.0,0.3333333333333333,1.0,0.4666666666666666,风景
小燕子宝贝,5.0,园内是围着一条溪建设，溪水在正中央，周边有陋室、桃花山、亲子乐园、秦街等不一样的游玩点，中途还设立了小游戏点，赢了可以得奖券，可在园区内购物抵扣现金。,1759645628000,0,0,陪同父母,湖南,园内是围着一条溪建设，溪水在正中央，周边有陋室、桃花山、亲子乐园、秦街等不一样的游玩点，中途还设立了小游戏点，赢了可以得奖券，可在园区内购物抵扣现金。,2025-10-05 14:27:08,2025-10-05,10,6,14,秋季,75,高,False,0.0008076799923160127,负面,1.0,0.0,0.0,0.0,0.0,0.2,风景
